trait_name,trait_value,Species Count
plant_height,2 (V),62
plant_physical_defence_structures,absent (g),62
reproductive_maturity,5--20 (f),62
resprouting_capacity_non_fire_disturbance,resprouts_non_fire_disturbance (2),62
parasitic,not_parasitic (g),61
storage_organ,rhizome (2),60
dispersal_syndrome,anemochory (V),60
dispersers,wind (2),59
dispersal_syndrome,barochory (V),59
root_system_type,tap_root_present (1),58
plant_growth_form,herb (5),58
plant_growth_form,herb (7),58
seedbank_longevity_class,transient (2),58
dispersers,invertebrates (V),57
flower_colour,white_cream (2),57
stem_growth_habit,rhizomatous (V),56
dispersal_syndrome,myrmecochory (f),56
plant_tolerance_snow,days (1); weeks (1),56
reproductive_maturity,1 (1); 1--5 (1),55
parasitic,not_parasitic (3),55
bud_bank_location,basal_buds (1),55
lifespan,<10 (f),55
sex_type,andromonoecious (1),54
post_fire_recruitment,post_fire_recruitment_absent (f),54
bud_bank_location,epicormic_buds (V),53
flower_colour,white_cream (1); yellow_orange (1),53
sex_type,gynomonoecious (f),53
flower_colour,pink (1); white_cream (1),52
plant_tolerance_salt,salinity_tolerance_undefined (2),52
plant_tolerance_salt,glycophyte (g),52
resprouting_capacity,fire_killed (3),52
storage_organ,lignotuber (1),52
plant_tolerance_snow,days (2),52
seed_dormancy_class,physical_dormancy (f),51
plant_physical_defence_structures,absent (3),51
stem_growth_habit,erect (2),50
root_structure,arbuscular_mycorrhizal (2),50
pollination_syndrome,insect (g),49
reproductive_maturity,0--1 (f),49
plant_tolerance_snow,not_applicable (2),49
clonal_spread_mechanism,rhizome (1),48
plant_height,3 (V),48
dispersers,birds (1),48
root_structure,orchid_mycorrhizal (f),48
clonal_spread_mechanism,stem_tuber (f),48
nitrogen_fixing,non_nitrogen_fixer (4),48
flowering_time,yynnnnnnnnny (V),48
stem_growth_habit,rosette (f),48
post_fire_recruitment,post_fire_recruitment (1); post_fire_recruitment_absent (1),47
seed_germination_treatment,heat (f),47
seed_germination,1 (V),47
bud_bank_location,rhizome (1),47
flowering_time,nnnnnnnnyyyn (V),46
dispersal_syndrome,zoochory (V),46
dispersers,invertebrates (1),46
life_history,perennial (8),46
pollination_syndrome,wind (1),46
seedbank_location,canopy_seedbank (f),46
dispersal_syndrome,endozoochory (V),45
plant_growth_form,herb (8),45
vegetative_reproduction_ability,not_vegetative (1); vegetative (1),45
reproductive_maturity,1 (1),45
plant_growth_form,herb (4),44
resprouting_capacity,resprouts (5),44
pollination_syndrome,wind (f),44
dispersers,birds (V),44
dispersers,ants (f),44
seedbank_longevity_class,long_persistent (1),43
fruit_colour,brown (V),43
seedbank_longevity,10-- (1),43
flowering_time,yynnnnnnnnny (1),43
pollination_syndrome,insect (V),43
plant_tolerance_salt,glycophyte (2),43
plant_tolerance_inundation,less_than_1_month (2),43
vegetative_reproduction_ability,not_vegetative (g),43
dispersal_syndrome,epizoochory (V),43
lifespan,50-500 (1),42
flower_colour,pink (1),42
storage_organ,no_storage_organ (1),42
stem_growth_habit,erect (f),42
fire_time_from_fire_to_flowering,12 (1),41
flowering_time,nnnnnnnnyyyn (1),41
seed_dormancy_class,morphophysiological_dormancy (1),41
seedbank_longevity,2-- (V),41
flowering_time,yynnnnnnyyyy (1),40
dispersal_syndrome,zoochory (1),40
seedbank_longevity,--2 (2),40
stem_growth_habit,climbing (1),40
dispersal_syndrome,epizoochory (f),40
flower_colour,yellow_orange (f),39
seedbank_longevity_class,persistent (3),39
nitrogen_fixing,nitrogen_fixer (f),39
nitrogen_fixing,non_nitrogen_fixer (g),39
plant_growth_form,herb (9),39
leaf_type,broadleaf (g),38
lifespan,>500 (1),38
plant_growth_form,shrub (4),38
dispersal_syndrome,anemochory (2),38
plant_height,0.3 (V),38
dispersers,ants (1),37
pollination_syndrome,abiotic (V),37
plant_growth_form,shrub (6),37
flowering_time,yyyyyyyyyyyy (V),36
vegetative_reproduction_ability,vegetative (2),36
