Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name,__source,year,decimals,precision_tier
41539,Persoonia linearis,2004-05-01T12:00:00,Salt Pan Creek Flora&Fauna Apndx4 POM,Alma Reserve,-33.963313,151.038039,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
38690,Eucalyptus piperita,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Amberdale Reserve,-33.972098,151.0034,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
31039,Pimelea spicata,2010-02-11T00:00:00,DPIE Data from Scientific Licences dataset,Crest,-33.910722,150.996679,,,,occurrenceRemarks withheld,2010.0,2.0,11.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,2010,6,<1 m (6+ dp)
43183,Zantedeschia aethiopica,2004-05-01T12:00:00,The Crest-Appendix,Crest,-33.908539,150.99598,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
39984,Leptomeria sp.,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Lambeth Reserve,-33.971772,150.996708,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
35758,Alternanthera denticulata,2004-05-01T12:00:00,Bankstown Airport Reserves Flora&Fauna Apndx6 POM,Cnr HLD and Milperra Road,-33.931506,150.97956,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
7822,Brachychiton acerifolius,2020-08-04T12:59:50,iNaturalist research-grade observations,Miram-Beena,-33.909506,150.974124,,,,"Only individual sighted, has some species of lichen growing on it, 15metres from river, dry soil. Growing next to blue jarcanda",2020.0,8.0,4.0,,,,,angiegreenthumb,2020-08-04T03:01:25Z,,HUMAN_OBSERVATION,,angiegreenthumb,CB Council,iNaturalist,2020,6,<1 m (6+ dp)
28141,Pimelea spicata,2010-02-11T00:00:00,DPIE Data from Scientific Licences dataset,Crest,-33.910908,150.996437,,,,occurrenceRemarks withheld,2010.0,2.0,11.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,2010,6,<1 m (6+ dp)
27443,Senecio madagascariensis,1999-06-28T00:00:00,GEORGES Vegetation Survey,Miram-Beena,-33.909506,150.979817,,,introduced,occurrenceRemarks withheld,1999.0,6.0,28.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OVLU99062101;OSLS05031800,CB Council,ALA,1999,6,<1 m (6+ dp)
42719,Tetragonia tetragonoides,2004-05-01T12:00:00,Deepwater Flora&Fauna Apndx5 POM,Kelso Beach,-33.953352,150.98246,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
6636,Caladenia picta,2024-05-29T12:41:52,iNaturalist research-grade observations,Not in a reserve,-33.97247,151.029128,,,,,2024.0,5.0,29.0,,,,,meta4,2024-07-08T14:06:41Z,,HUMAN_OBSERVATION,,Lucy,CB Council,iNaturalist,2024,6,<1 m (6+ dp)
38168,Einadia hastata,2004-05-01T12:00:00,Birrong Sefton Flora&Fauna Apndx3 POM,Maluga Passive Pk,-33.894195,151.015561,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
5916,Notelaea longifolia,2020-05-20T12:38:33,iNaturalist observations,Not in a reserve,-33.977705,151.002228,,,,,2020.0,5.0,20.0,,,,,,,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council,iNaturalist,2020,6,<1 m (6+ dp)
7680,Hardenbergia violacea,2022-05-13T13:19:41,iNaturalist research-grade observations,Picnic Point Reserve,-33.976788,150.996812,,,,,2022.0,5.0,13.0,,,,,Nathan Odgers,2022-05-13T04:20:39Z,,HUMAN_OBSERVATION,,Nathan Odgers,CB Council,iNaturalist,2022,6,<1 m (6+ dp)
34399,Verbena bonariensis,2015-11-23T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.944646,150.990702,,,introduced,occurrenceRemarks withheld,2015.0,11.0,,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP09120203,CB Council,ALA,2015,6,<1 m (6+ dp)
39831,Kunzea ambigua,2004-05-01T12:00:00,Salt Pan Creek Flora&Fauna Apndx4 POM,Salt Pan Reserve,-33.946515,151.039711,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
28981,Hibbertia puberula,2019-07-17T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.917076,150.978812,,N  No Breeding Evident,,occurrenceRemarks withheld,2019.0,7.0,17.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OICG19070400,CB Council,ALA,2019,6,<1 m (6+ dp)
7575,Acacia terminalis,2023-07-14T14:06:00,iNaturalist research-grade observations,Dilke Reserve,-33.973193,151.035058,,,,,2023.0,7.0,14.0,,,,,Bradley W. Jones,2023-07-14T08:05:34Z,,HUMAN_OBSERVATION,,Bradley W. Jones,CB Council,iNaturalist,2023,6,<1 m (6+ dp)
21140,Paspalum dilatatum,2021-06-02T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.877207,150.989496,,,introduced,occurrenceRemarks withheld,2021.0,6.0,2.0,Open woodland,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OPUR14092500,CB Council,ALA,2021,6,<1 m (6+ dp)
5859,Acacia binervia,2023-06-17T11:53:00,iNaturalist observations,Ruse Park,-33.926284,151.034475,,,,,2023.0,6.0,17.0,,,,,,,,HUMAN_OBSERVATION,,David,CB Council,iNaturalist,2023,6,<1 m (6+ dp)
23276,Digitaria didactyla,2020-04-03T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.977766,150.996904,,,,occurrenceRemarks withheld,2020.0,4.0,3.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJJS18050102;OJJS20082503,CB Council,ALA,2020,6,<1 m (6+ dp)
34589,Acacia ulicifolia,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Little Salt Pan Creek Reserve,-33.96882,151.029014,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
23753,Hardenbergia violacea,2007-11-15T00:00:00,DPIE Default Sightings,Crest,-33.906706,150.993264,,,,occurrenceRemarks withheld,2007.0,11.0,15.0,,,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OEMM09102201,CB Council,ALA,2007,6,<1 m (6+ dp)
38207,Anthosachne scabra,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.906477,150.980754,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
22144,Goodenia hederacea,2010-03-17T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.903555,151.095777,,,,occurrenceRemarks withheld,2010.0,,,Open forest,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJJS11032906,CB Council,ALA,2010,6,<1 m (6+ dp)
19224,Ricinus communis,2018-04-16T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.9269,151.147854,,,introduced,occurrenceRemarks withheld,2018.0,4.0,16.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OPJGI0002201,CB Council,ALA,2018,6,<1 m (6+ dp)
33432,Commersonia dasyphylla,2009-12-10T00:00:00,DPIE Default Sightings,Crest,-33.90947,150.99401,,,,occurrenceRemarks withheld,2009.0,12.0,10.0,,,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OEMM09102201,CB Council,ALA,2009,5,≈1–10 m (5 dp)
35990,Araujia sericifera,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Padstow Park,-33.950103,151.037195,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
10901,Philotheca scabra,2023-10-10T13:12:00,iNaturalist research-grade observations,Not in a reserve,-33.97144,151.02847,,flowers,,,2023.0,10.0,10.0,,,,,Bradley W. Jones,2023-10-10T05:23:29Z,,HUMAN_OBSERVATION,,Bradley W. Jones,CB Council,iNaturalist,2023,5,≈1–10 m (5 dp)
2858,Acacia pubescens,2020-05-29T00:00:00,DPIE Data from Scientific Licences dataset,Lansdowne,-33.892833,150.97644,,,,occurrenceRemarks withheld,2020.0,5.0,29.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJJS16072001,CB Council,ALA,2020,6,<1 m (6+ dp)
22474,Cestrum parqui,2009-10-26T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.927625,151.139081,,,introduced,occurrenceRemarks withheld,2009.0,10.0,26.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OEXK99062500;OEMM09100803,CB Council,ALA,2009,6,<1 m (6+ dp)
40600,Melaleuca nodosa,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.893451,150.970339,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
3133,Ligustrum sinense,2018-05-23T00:00:00,DPIE Data from Scientific Licences dataset,Lansdowne,-33.896212,150.972852,,,introduced,occurrenceRemarks withheld,2018.0,5.0,23.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OIXR15013005,CB Council,ALA,2018,6,<1 m (6+ dp)
19353,Ehrharta erecta,2024-07-05T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.881627,150.997191,,,introduced,occurrenceRemarks withheld,2024.0,7.0,5.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP2411140D,CB Council,ALA,2024,6,<1 m (6+ dp)
7826,Pterostylis acuminata,2023-04-25T11:39:00,iNaturalist research-grade observations,Not in a reserve,-33.974984,151.019113,,,,,2023.0,4.0,25.0,,,,,Philip Rae,2023-05-14T09:36:01Z,,HUMAN_OBSERVATION,,Philip Rae,CB Council,iNaturalist,2023,6,<1 m (6+ dp)
39882,Lantana camara,2004-05-01T12:00:00,Salt Pan Creek Flora&Fauna Apndx4 POM,Alma Reserve,-33.963313,151.038039,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
6131,Cerastium glomeratum,2022-10-15T09:32:00,iNaturalist research-grade observations,Not in a reserve,-33.915028,151.095667,,,,,2022.0,10.0,15.0,,,,,georgie_feng,2022-10-16T04:18:13Z,,HUMAN_OBSERVATION,,georgie_feng,CB Council,iNaturalist,2022,6,<1 m (6+ dp)
26436,Galium aparine,2018-05-23T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.931799,150.978705,,,introduced,occurrenceRemarks withheld,2018.0,5.0,23.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OIXR15013005,CB Council,ALA,2018,6,<1 m (6+ dp)
21781,Acacia pubescens,2009-08-18T00:00:00,DPIE Data from Scientific Licences dataset,Carysfield,-33.902992,150.997044,,,,occurrenceRemarks withheld,2009.0,8.0,18.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,2009,6,<1 m (6+ dp)
27598,Acacia pubescens,2009-08-18T00:00:00,DPIE Data from Scientific Licences dataset,Carysfield,-33.903308,150.998215,,,,occurrenceRemarks withheld,2009.0,8.0,18.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,2009,6,<1 m (6+ dp)
37193,Clematis aristata,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.909351,150.975191,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
5856,Passiflora suberosa,2024-05-25T14:14:39,iNaturalist research-grade observations,Not in a reserve,-33.929929,151.127026,,fruits or seeds,,,2024.0,5.0,25.0,,,,,Nina,2024-05-25T06:35:42Z,,HUMAN_OBSERVATION,,Nina,CB Council,iNaturalist,2024,6,<1 m (6+ dp)
25365,Eucalyptus capitellata,2010-02-17T00:00:00,NP_GEORGES Vegetation Survey,Not in a reserve,-33.971963,151.012334,,,,occurrenceRemarks withheld,2010.0,2.0,17.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OJSS00112900;VEG-NICR,CB Council,ALA,2010,6,<1 m (6+ dp)
5593,Eucalyptus saligna,2023-03-17T13:17:00,iNaturalist research-grade observations,Not in a reserve,-33.891044,151.045633,,,,Added more photos 21 JULY 2023,2023.0,3.0,17.0,,,,,devito,2023-03-19T05:21:18Z,,HUMAN_OBSERVATION,,bursar,CB Council,iNaturalist,2023,6,<1 m (6+ dp)
