scientific_name,common_name,reserve_name,decimal_latitude,decimal_longitude,date_of_observation,plant_growth_form
Caustis recurvata,Curly Wig,The River Reserve,-33.969546,151.016111,1/5/2004 12:00,
Centaurea cyanus,Cornflower,Not in a reserve,-33.921858,151.14649,21/10/2022 15:46,herb (2)
Centella cordifolia,,Adept Lane Reserve,-33.930189,151.035261,1/5/2004 12:00,herb (6)
Centella cordifolia,,Not in a reserve,-33.897071,151.029586,5/6/2006 0:00,herb (6)
Cerastium holosteoidesn,Mouse-ear Chickweed,Norfolk Reserve,-33.893604,151.062656,1/5/2004 12:00,
Cereus hildmannianus,,Miram-Beena,-33.894828,150.96968,21/12/2023 8:46,shrub (1)
Chamaesyce drummondii,Flat Spurge,Kelso Creek,-33.950301,150.984015,1/5/2004 12:00,
Chamaesyce sp.,Spurge,Louisa,-33.905454,150.999701,1/5/2004 12:00,
Cheilanthes austrotenuifolia,,Thomas Street Depot,-33.96590278,151.013035,1/5/2004 12:00,
Cheilanthes austrotenuifolia,,Ashford Reserve,-33.930003,150.984825,1/5/2004 12:00,
Chenopodium spp.,Goosefoot,Roberts Road Reserve,-33.90619,151.065494,1/5/2004 12:00,
Chloris barbata,Purpletop Chloris,Not in a reserve,-33.929167,151.136667,16/10/1995 4:32,graminoid (3); herb (2); tussock (2)
Chloris spp.,Windmill Grass,Manahan Reserve,-33.92033,151.006218,1/5/2004 12:00,
Chondrilla juncea,Rush Skeletonweed,The River Reserve,-33.969546,151.016111,1/5/2004 12:00,
Chondrilla juncea,Rush Skeletonweed,Picnic Point Reserve,-33.977563,150.996147,1/5/2004 12:00,
Choretrum candollei,,Churchill Reserve,-33.969913,151.028269,1/5/2004 12:00,
Christella dentata,,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Cissus alata,Water Vine,Not in a reserve,-33.912606,151.034377,21/3/2022 0:00,
Clivea sp.,Clivia,Richardson Reserve,-33.963555,151.027909,1/5/2004 12:00,
Cochlospermum fraseri,Kapok Bush,Not in a reserve,-33.917927,151.08845,29/3/2015 16:27,climber_herbaceous (1); shrub (4); tree (10)
Cochlospermum fraseri,Kapok Bush,Not in a reserve,-33.926294,151.075148,24/3/2017 17:02,climber_herbaceous (1); shrub (4); tree (10)
