Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name,__source,decimals,year,precision_tier
19541,Bursaria spinosa,2008-12-07T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.921711,150.997024,,,,occurrenceRemarks withheld,2008.0,12.0,7.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP08080501,CB Council,ALA,6,2008,<1 m (6+ dp)
20277,Brachyloma daphnoides,2010-12-14T00:00:00,NP_GEORGES Vegetation Survey,Not in a reserve,-33.972536,151.037905,,,,occurrenceRemarks withheld,2010.0,12.0,14.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,ODMP99111100;VEG-NICR,CB Council,ALA,6,2010,<1 m (6+ dp)
36346,Banksia serrata,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Little Salt Pan Creek Reserve,-33.96882,151.029014,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
7393,Capsella bursa-pastoris,2021-10-22T12:07:00,iNaturalist research-grade observations,Not in a reserve,-33.941669,151.050019,,,,,2021.0,10.0,22.0,,,,,Thomas Mesaglio,2021-10-26T05:41:17Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council,iNaturalist,6,2021,<1 m (6+ dp)
5723,Sonchus asper,2023-10-02T12:25:00,iNaturalist observations,Not in a reserve,-33.902703,150.979644,,,,,2023.0,10.0,2.0,,,,,,,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council,iNaturalist,6,2023,<1 m (6+ dp)
27460,Eucalyptus tereticornis,2015-09-08T00:00:00,DPIE Data from Scientific Licences dataset,East Hills Park,-33.964295,150.982435,,,,occurrenceRemarks withheld,2015.0,9.0,8.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJJS12110500,CB Council,ALA,6,2015,<1 m (6+ dp)
37881,Dichelachne crinita,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.906477,150.980754,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
35740,Alopecurus pratensis,2004-05-01T12:00:00,The Crest-Appendix,Carysfield,-33.902185,150.998468,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
20316,Bursaria spinosa,2008-02-13T00:00:00,METROCMA2 Vegetation Survey,Deepwater,-33.946827,150.972747,,,,occurrenceRemarks withheld,2008.0,2.0,13.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,VEG-NICR;OPUR23081001,CB Council,ALA,6,2008,<1 m (6+ dp)
9786,Dodonaea triquetra,2023-07-17T10:42:53,iNaturalist research-grade observations,Not in a reserve,-33.97273,151.036553,,,,,2023.0,7.0,17.0,,,,,superbum2,2023-07-17T03:50:36Z,,HUMAN_OBSERVATION,,slloyd98,CB Council,iNaturalist,6,2023,<1 m (6+ dp)
