reserve_id,asset_name,location,suburb,asset_type,asset_sub_type,asset_class,shape_file_name,shape_file_path
66,Lees Park,"5 Harmony Street, Ashbury",Ashbury,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
67,Wattle Reserve,"170 Wattle Street, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
68,Newland Reserve,"5 Newland Avenue, Milperra",Milperra,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
69,Saint Mary MacKillop Reserve,"260 Canterbury Road, Canterbury",Canterbury,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
70,Georges River National Park,"Burrawang Road, Picnic Point",Picnic Point,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
71,"Unnamed Reserve, Carinya Road","1A Carinya Road, Picnic Point",Picnic Point,Bushland,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
72,Foley Reserve,"22 Foley Street, Georges Hall",Georges Hall,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
73,Balmoral Reserve 1,"17A Windsor Avenue, Croydon Park",Croydon Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
74,Salmon Park,"2 Mulga Street, Punchbowl",Punchbowl,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
75,Swane Reserve,"80 North Terrace, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
76,Bryant Park,"15 Wesley Street, Greenacre",Greenacre,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
77,Phillip Park,"11 Phillip Street, Panania",Panania,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
78,Yunga Burra Reserve,"11A Yungaburra Street, Villawood",Villawood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
79,Larkview Reserve,"1 Larkview Avenue, Chester Hill",Chester Hill,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
80,Lark Street Reserve,"10 Lark Street, Belmore",Belmore,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
81,Cuthbert Reserve,"4A Cuthbert Crescent, Revesby",Revesby,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
82,Thornton Reserve,"2A Thornton Avenue, Bass Hill",Bass Hill,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
83,Sefton Golf Course,"158-162 Rose Street, Sefton",Sefton,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
84,Vasta Reserve,"4 Peronne Close, Milperra",Milperra,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
85,Allison Reserve,"8 Caloola Street, Condell Park",Condell Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
86,Earlwood Oval,"18 Spark Street, Earlwood",Earlwood,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
87,Kennedy Reserve,"37 Apex Avenue, Picnic Point",Picnic Point,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
88,Hughes Park,"122 Northcote Street, Canterbury",Canterbury,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
89,Manahan Reserve,"45 Manahan Street, Condell Park",Condell Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
90,Derribong Reserve,"47A Yungaburra Street, Villawood",Villawood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
91,Wardell - Keith Link,"4 Keith Street, Earlwood",Earlwood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
92,Fox Reserve,"151 Howard Road, Padstow",Padstow,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
93,Allegra Avenue Reserve,"4A Chapel Street, Belmore",Belmore,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
94,Pollock Reserve,"8 Pollock Street, Georges Hall",Georges Hall,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
95,Sawyer Reserve,"89 Dunstaffenage Street, Hurlstone Park",Hurlstone Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
96,Warwick Reserve,"77 Church Street, Hurlstone Park",Hurlstone Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
97,Hillard Street Reserve,"36-40 Mccourt Street, Wiley Park",Wiley Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
98,Peace Park,"28 Trevenar Street, Ashbury",Ashbury,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
99,Redgum Reserve,"2 Redgum Drive, Padstow",Padstow,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
100,Lofts Gardens,"73-135 Beamish Street, Campsie",Campsie,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
101,Blanche Barkl Reserve,"111-113 Stansfield Avenue, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
102,Lee Park,"39 Russell Street, Greenacre",Greenacre,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
103,Oxley Reserve,"8 Oxley Avenue, Panania",Panania,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
104,Greenway Reserve,"102A Carrington Street, Revesby",Revesby,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
105,Jim Ring Reserve,"25 Woods Road, Birrong",Birrong,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
106,Craig Street Reserve,"25-51 Wiggs Road, Punchbowl",Punchbowl,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
107,Treuer Reserve,"1 Treuer Parade, Yagoona",Yagoona,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
108,"Unnamed Reserve, Victoria Road","53 Victoria Road, Punchbowl",Punchbowl,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
109,Bruce Reserve,"10 Victor Avenue, Panania",Panania,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
110,"Unnamed Reserve, 2005 Moora Street","2005 Moora Street, Chester Hill",Chester Hill,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
111,Cooks River 4,"93 Fifth Avenue, Campsie",Campsie,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
112,Cleary Avenue - Small Park,"Cleary Avenue, Belmore",Belmore,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
113,Roberts Road Reserve,"235 Roberts Road, Greenacre",Greenacre,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
114,John K Stewart Reserve,"268A King Gerges Road, Roselands",Roselands,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
115,Lowana Reserve,"5A Lowana Street, Villawood",Villawood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
