occurrence_id,scientific_name,decimal_latitude,decimal_longitude,reserve_id,pct_id,missing_reserve,missing_pct
92,Bossiaea prostrata,-33.909603,150.980804,530.0,9.0,False,False
93,Melaleuca hypericifolia,-33.909414,150.98058,530.0,9.0,False,False
94,Goodenia hederacea,-33.909668,150.980257,530.0,9.0,False,False
95,Cheilanthes sieberi,-33.909568,150.980352,530.0,9.0,False,False
96,Polymeria calycina,-33.909647,150.980163,530.0,9.0,False,False
97,Calotis lappulacea,-33.909574,150.980222,530.0,9.0,False,False
98,Eremophila debilis,-33.909491,150.977137,530.0,4.0,False,False
99,Scutellaria,-33.907757,150.98168,530.0,1.0,False,False
100,Aristida,-33.909027,150.979721,530.0,9.0,False,False
101,Microlaena stipoides,-33.909493,150.980391,530.0,9.0,False,False
102,Dichelachne micrantha,-33.909168,150.981015,530.0,9.0,False,False
103,Euchiton sphaericus,-33.90892,150.980743,530.0,9.0,False,False
104,Caesia parviflora var. vittata,-33.909588,150.97724,530.0,1.0,False,False
105,Eucalyptus,-33.90959,150.980226,530.0,9.0,False,False
106,Wahlenbergia gracilis,-33.909229,150.980698,530.0,9.0,False,False
107,Magnoliopsida,-33.908856,150.980839,530.0,9.0,False,False
108,Eremophila debilis,-33.908822,150.981091,530.0,9.0,False,False
109,Eucalyptus,-33.907355,150.980195,530.0,1.0,False,False
110,Podranea ricasoliana,-33.909358,150.977355,530.0,4.0,False,False
111,Aristida vagans,-33.909072,150.979781,530.0,9.0,False,False
112,Afrohybanthus stellarioides,-33.909328,150.980706,530.0,9.0,False,False
113,Cardiospermum grandiflorum,-33.909338,150.977387,530.0,4.0,False,False
114,Einadia hastata,-33.909139,150.980604,530.0,9.0,False,False
115,Arundo donax,-33.907967,150.98143,530.0,1.0,False,False
116,Eucalyptus,-33.90723,150.973884,535.0,4.0,False,False
117,Aegiceras corniculatum,-33.906983,150.979387,530.0,21.0,False,False
118,Casuarina glauca,-33.908203,150.975478,,21.0,True,False
119,Tracheophyta,-33.909537,150.980509,530.0,9.0,False,False
120,Brunoniella australis,-33.909557,150.979723,530.0,9.0,False,False
121,Tricoryne,-33.90976,150.980163,530.0,9.0,False,False
122,Melaleuca linariifolia,-33.909599,150.979324,530.0,9.0,False,False
123,Arthropodium,-33.909167,150.980343,530.0,9.0,False,False
124,Opercularia diphylla,-33.909608,150.980302,530.0,9.0,False,False
125,Myrtaceae,-33.908608,150.980576,530.0,9.0,False,False
126,Acacia parramattensis,-33.90684,150.981518,530.0,1.0,False,False
127,Ficus rubiginosa,-33.909058,150.977858,530.0,1.0,False,False
128,Capsella bursa-pastoris,-33.909439,150.975266,535.0,1.0,False,False
129,Eucalyptus eugenioides,-33.909775,150.978186,530.0,1.0,False,False
130,Goodenia hederacea,-33.909144,150.980956,530.0,9.0,False,False
131,Melia azedarach,-33.908623,150.980579,530.0,9.0,False,False
132,Acacia falcata,-33.909607,150.980222,530.0,9.0,False,False
133,Pavonia hastata,-33.909669,150.980356,530.0,9.0,False,False
134,Eremophila debilis,-33.90958,150.980266,530.0,9.0,False,False
