occurrence_id,reserve_id,pct_id
1,430,9
2,430,9
3,430,9
4,430,9
5,430,9
6,430,9
7,430,9
8,430,9
9,430,9
10,430,9
11,430,9
12,430,9
13,430,9
14,430,9
15,430,9
16,430,9
17,430,9
18,430,9
19,430,9
20,430,9
21,430,9
22,430,9
23,430,9
24,430,9
25,430,9
26,430,9
27,430,9
28,430,9
29,430,9
30,430,9
31,430,9
32,430,9
33,430,9
34,430,9
35,430,9
36,430,9
37,NULL,1
38,430,9
39,430,9
40,430,9
41,430,9
42,430,9
43,430,9
44,430,9
45,430,9
46,430,9
47,430,9
48,430,9
49,430,9
50,430,9
51,430,9
52,430,9
53,430,9
54,535,1
55,535,4
56,530,9
57,530,9
58,530,9
59,530,9
60,530,9
61,NULL,1
62,530,9
63,530,9
64,535,21
65,530,9
66,530,4
67,NULL,1
68,530,9
69,530,1
70,530,9
71,530,9
72,530,9
73,530,9
74,530,9
75,530,9
76,535,4
77,535,1
78,530,9
79,530,9
80,530,9
81,530,9
82,530,9
83,535,1
84,530,9
85,535,1
86,535,1
87,530,9
88,530,4
89,535,1
90,530,9
91,530,9
92,530,9
93,530,9
94,530,9
95,530,9
96,530,9
97,530,9
98,530,4
99,530,1
100,530,9
101,530,9
102,530,9
103,530,9
104,530,1
105,530,9
106,530,9
107,530,9
108,530,9
109,530,1
110,530,4
111,530,9
112,530,9
113,530,4
114,530,9
115,530,1
116,535,4
117,530,21
118,NULL,21
119,530,9
120,530,9
121,530,9
122,530,9
123,530,9
124,530,9
125,530,9
126,530,1
127,530,1
128,535,1
129,530,1
130,530,9
131,530,9
132,530,9
133,530,9
134,530,9
135,530,9
136,530,9
137,530,9
138,530,9
139,530,9
140,535,4
141,530,9
142,530,21
143,535,1
144,NULL,21
145,NULL,9
146,530,9
147,530,9
148,530,9
149,535,4
150,535,4
151,530,9
152,530,9
153,NULL,1
154,530,9
155,530,9
156,530,9
157,530,1
158,530,9
159,530,9
160,530,9
161,535,1
162,530,1
163,530,9
164,530,9
165,535,1
166,530,9
167,530,9
168,530,9
169,530,9
170,530,9
171,NULL,NULL
172,530,1
173,530,9
174,530,9
175,530,9
176,530,9
177,530,9
178,530,9
179,530,9
180,530,9
181,530,9
182,530,1
183,530,9
184,530,21
185,530,9
186,530,9
187,535,1
188,NULL,1
189,530,9
190,530,9
191,530,9
192,535,4
193,530,9
194,530,9
195,530,9
196,530,9
197,530,9
198,535,1
199,530,9
200,535,4
201,530,9
202,530,9
203,530,9
204,530,9
205,530,9
206,530,9
207,530,4
208,NULL,1
209,535,1
210,530,4
211,530,9
212,535,4
213,530,1
214,530,9
215,535,1
216,530,9
217,530,9
218,530,9
219,530,21
220,530,9
221,535,1
222,530,9
223,530,9
224,530,9
225,530,9
226,530,9
227,530,9
228,530,9
229,535,1
230,530,9
231,530,9
232,530,1
233,530,9
234,530,9
235,530,9
236,530,9
237,530,9
238,530,9
239,535,4
240,530,9
241,530,9
242,535,21
243,530,9
244,535,4
245,530,9
246,530,9
247,530,9
248,535,1
249,530,9
250,535,1
251,530,9
252,530,1
253,535,1
254,530,9
255,530,9
256,535,1
257,530,9
258,530,9
259,530,9
260,530,4
261,535,21
262,530,9
263,NULL,21
264,530,9
265,530,9
266,530,9
267,530,9
268,530,21
269,530,9
270,530,1
271,530,9
272,530,1
273,530,9
274,535,21
275,530,9
276,530,9
277,535,1
278,530,9
279,530,9
280,530,9
281,530,9
282,530,4
283,530,9
284,530,9
285,530,9
286,530,9
287,530,9
288,530,9
289,530,9
290,530,9
291,530,9
292,530,9
293,530,9
294,530,9
295,530,9
296,530,9
297,530,9
298,530,9
299,530,9
300,530,9
301,530,9
302,530,9
303,530,9
304,530,9
305,530,9
306,530,9
307,530,9
308,530,9
309,530,9
310,530,9
311,530,9
312,530,9
313,530,9
314,530,9
315,530,9
316,530,9
317,530,9
318,530,9
319,NULL,NULL
320,530,9
321,530,9
322,535,1
323,530,9
324,535,1
325,530,1
326,530,9
327,530,9
328,535,1
329,530,1
330,535,1
331,530,1
332,535,1
333,530,9
334,530,9
335,530,9
336,535,1
337,535,1
338,530,9
339,535,1
340,530,9
341,530,9
342,530,9
343,530,9
344,535,1
345,530,9
346,530,9
347,530,9
348,530,9
349,530,9
350,535,1
351,535,1
352,535,1
353,530,9
354,535,1
355,535,1
356,535,1
357,530,9
358,530,9
359,535,1
360,530,9
361,535,1
362,535,1
363,535,1
364,530,9
365,535,1
366,530,9
367,535,1
368,530,9
369,530,9
370,530,9
371,530,9
372,530,9
373,535,1
374,530,9
375,535,1
376,530,9
377,530,9
378,535,1
379,530,9
380,530,9
381,530,9
382,530,9
383,530,1
384,535,1
385,530,9
386,530,9
387,535,1
388,535,1
389,530,1
390,530,9
391,530,1
392,530,9
393,530,9
394,530,9
395,530,9
396,530,9
397,535,1
398,530,9
399,530,9
400,530,9
401,530,9
402,530,9
403,530,9
404,535,1
405,535,1
406,530,9
407,530,9
408,530,9
409,530,9
410,530,9
411,535,1
412,535,1
413,530,9
414,530,9
415,530,9
416,530,9
417,530,1
418,535,1
419,530,9
420,530,9
421,530,9
422,530,9
423,530,9
424,530,9
425,530,9
426,530,1
427,530,9
428,530,9
429,530,9
430,530,1
431,530,9
432,530,9
433,530,9
434,535,1
435,530,9
436,530,9
437,530,9
438,530,9
439,530,9
440,530,9
441,535,1
442,530,9
443,530,9
444,530,9
445,530,1
446,530,9
447,530,9
448,530,9
449,530,1
450,530,1
451,535,1
452,530,9
453,530,9
454,530,9
