OBJECTID,PCTID,Shape_Leng,Shape_Area,labels,PCTName,vegForm,vegClass,form_PCT
320358,0,22160.608376739270170,12092918.101375145837665,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320360,0,10011.275967974561354,2897221.481396547518671,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320375,0,5480.260106358767189,227961.727616284042597,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320376,0,5240.913577125677875,43455.858514167040994,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320378,0,3347.232163199948900,146649.769322132051457,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320382,0,4064.627591848581687,78869.950681569898734,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320387,0,7692.278592687503078,1052455.682305442169309,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320389,0,5736.118741973553369,343562.381282735383138,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320390,0,3544.475333147645415,118054.523695789423073,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320391,0,5036.867357380744579,256156.121640771627426,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320394,0,6957.329187642626493,389548.201809913909528,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320395,0,5563.942926951704976,144440.224190781038487,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320396,0,6546.804852310930073,1223336.265027818037197,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320398,0,6115.085643390625592,365010.115759188774973,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320399,0,5703.856578010430894,140484.805984583799727,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320404,0,4490.406939218066327,53505.016825358929054,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320408,0,5007.030591128503147,134143.681860915181460,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320409,0,5052.824246744194170,94563.723904062280781,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320411,0,5435.388120302671268,356856.719387216260657,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320414,0,5048.731281349511846,137652.402407852961915,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320415,0,5392.671908748745409,163362.114353271026630,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320417,0,4940.263967265922474,56099.628875360525853,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320419,0,5974.170090494109900,255405.486344194359845,PCT : 0,Not native vegetation,Not native vegetation,Not native vegetation,(Not native vegetation) Not native vegetation
320767,3040,5169.971368354505103,149082.609096544561908,PCT : 3040,Sydney Coastal Foreshores Gully Rainforest,Rainforests,Northern Warm Temperate Rainforests,(Rainforests) Sydney Coastal Foreshores Gully Rainforest
320941,3136,5602.325747462425170,78554.076822147486382,PCT : 3136,Blue Gum High Forest,Wet Sclerophyll Forests (Shrubby sub-formation),North Coast Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Shrubby sub-formation)) Blue Gum High Forest
320942,3136,4779.547739264998199,88406.285261164754047,PCT : 3136,Blue Gum High Forest,Wet Sclerophyll Forests (Shrubby sub-formation),North Coast Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Shrubby sub-formation)) Blue Gum High Forest
321564,3259,5249.269602152840889,71112.358112371439347,PCT : 3259,Sydney Coastal Shale-Sandstone Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Coastal Shale-Sandstone Forest
321565,3259,3900.799488796595142,36956.629744151308842,PCT : 3259,Sydney Coastal Shale-Sandstone Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Coastal Shale-Sandstone Forest
321706,3262,5197.625579199356253,49210.326631813994027,PCT : 3262,Sydney Turpentine Ironbark Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Turpentine Ironbark Forest
