Species Name,Family,Genus,Local Status,Fire Traits
Hovea longifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '44.1860465116279 (1); 48.3720930232558 (1)', 'fire_time_from_fire_to_fruiting': '46.046511627907 (1)'}"
Hydrocotyle sibthorpioides,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (2)', 'fire_time_from_fire_to_flowering': '2.32558139534884 (1)', 'fire_time_from_fire_to_fruiting': '3.72093023255814 (1)'}"
Hypericum gramineum,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '12 (V)', 'fire_time_from_fire_to_fruiting': '8.83720930232558 (1)'}"
Indigofera australis,,,,"{'post_fire_recruitment': 'post_fire_recruitment (V)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'resprouting_capacity_proportion_individuals': '0.6', 'fire_time_from_fire_to_flowering': '24 (2)'}"
Isolepis cernua,,,,"{'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '2.32558139534884 (1)'}"
Isolepis inundata,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'fire_killed (2); resprouts (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '12 (1); 6.51162790697674 (1)'}"
Isopogon anemonifolius,,,,"{'post_fire_recruitment': 'post_fire_recruitment (V)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '20.9302325581395 (1); 24 (1); 36.2790697674419 (1); 48 (1); 48.3720930232558 (1)', 'fire_time_from_fire_to_fruiting': '45.5813953488372 (1)'}"
Jacksonia scoparia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)'}"
Juncus continuus,,,,"{'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '12 (1); 9.76744186046512 (1)'}"
Juncus homalocaulis,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)'}"
Juncus mollis,,,,"{'resprouting_capacity': 'resprouts (g)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (g)'}"
Juncus pallidus,,,,"{'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)'}"
Juncus usitatus,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)'}"
Juncus remotiflorus,,,,"{'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)'}"
Juncus subsecundus,,,,"{'resprouting_capacity': 'resprouts (6)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (2)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (1); 24 (1)'}"
Kennedia rubicunda,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '12.093023255814 (1); 8.13953488372093 (1)', 'fire_time_from_fire_to_fruiting': '10.6976744186047 (1)'}"
Kunzea ambigua,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'fire_killed (6)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '22.5581395348837 (1); 24.1860465116279 (1); 48.3720930232558 (1)', 'fire_time_from_fire_to_fruiting': '23.2558139534884 (1)'}"
Kunzea capitata,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '21.1627906976744 (1); 24 (1)'}"
Lachnagrostis filiformis,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'partial_resprouting (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_resprout (f)', 'resprouting_capacity_proportion_individuals': '0.2 (1); 0.4 (1); 0.6 (1)', 'fire_time_from_fire_to_flowering': '12 (V)', 'fire_time_from_fire_to_fruiting': '10.2325581395349 (1)'}"
Lagenophora gracilis,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (2)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (1); 2.09302325581395 (1); 2.7906976744186 (1)', 'fire_time_from_fire_to_fruiting': '2.7906976744186 (1)'}"
Lambertia formosa,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'fire_time_from_fire_to_flowering': '16.5116279069767 (1); 24 (1); 36.2790697674419 (1); 48.3720930232558 (1)', 'fire_time_from_fire_to_fruiting': '45.3488372093023 (1)', 'fire_time_from_fire_to_peak_flowering': '24 (1); 36 (1)', 'fire_time_from_fire_to_50_percent_flowering': '21.8604651162791 (1)'}"
Lasiopetalum ferrugineum,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'fire_time_from_fire_to_flowering': '12 (1); 20.2325581395349 (1); 24.1860465116279 (1)', 'fire_time_from_fire_to_fruiting': '22.5581395348837 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1); 60 (1)'}"
Lasiopetalum macrophyllum,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'partial_resprouting (1); resprouts (1)'}"
Lasiopetalum parviflorum,,,,"{'resprouting_capacity': 'fire_killed (V)', 'fire_time_from_fire_to_flowering': '33.4883720930233 (1)'}"
Lasiopetalum rufum,,,,{'resprouting_capacity': 'fire_killed (f)'}
Laxmannia gracilis,,,,"{'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'fire_time_from_fire_to_flowering': '10 (1); 3.6 (1)', 'fire_time_from_fire_to_fruiting': '11.8604651162791 (1)', 'fire_time_from_fire_to_50_percent_flowering': '10.6976744186047 (1)'}"
Lemna disperma,,,,"{'resprouting_capacity': 'fire_killed (2)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Lepidosperma laterale,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (7)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (3)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '11.3953488372093 (1); 13.0232558139535 (1); 15 (1)', 'fire_time_from_fire_to_fruiting': '13.0232558139535 (1)'}"
Lepidosperma gunnii,,,,"{'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '12 (1)', 'fire_time_from_fire_to_fruiting': '14.1860465116279 (1)'}"
Leptomeria acida,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'fire_killed (V); resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (2)', 'fire_time_from_fire_to_flowering': '36.2790697674419 (1); 37.906976744186 (1); 60.4651162790698 (1)', 'fire_time_from_fire_to_fruiting': '44.1860465116279 (1)'}"
Leptospermum arachnoides,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '22.5581395348837 (1); 24.1860465116279 (1); 30 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '28.8372093023256 (1)', 'fire_time_from_fire_to_peak_flowering': '24 (1); 36 (1)'}"
Leptospermum juniperinum,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '24 (1)'}"
Leptospermum laevigatum,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'resprouting_capacity_proportion_individuals': '0 (V)'}"
Leptospermum parvifolium,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '20.9302325581395 (1); 36.2790697674419 (1); 48 (1); 48.3720930232558 (1)', 'fire_time_from_fire_to_fruiting': '25.1162790697674 (1)'}"
Leptospermum petersonii,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '36 (1)'}"
Leptospermum polygalifolium,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '21.8604651162791 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '33.2558139534884 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1)'}"
Lepyrodia scariosa,,,,"{'resprouting_capacity': 'resprouts (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '12 (1); 13.0232558139535 (1)'}"
Leucopogon amplexicaulis,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (5)', 'fire_time_from_fire_to_flowering': '20.2325581395349 (1); 36.2790697674419 (1); 48.3720930232558 (1)', 'fire_time_from_fire_to_fruiting': '33.0232558139535 (1)'}"
Leucopogon ericoides,,,,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '31.3953488372093 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '33.2558139534884 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1); 72 (1)'}"
Leucopogon juniperinus,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'fire_time_from_fire_to_flowering': '36.2790697674419 (1); 48.3720930232558 (1)'}"
Leucopogon microphyllus,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (4)', 'fire_time_from_fire_to_flowering': '17.4418604651163 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1); 72 (1)'}"
Leucopogon virgatus,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (5)', 'fire_time_from_fire_to_flowering': '24 (1)'}"
Linum marginale,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'resprouting_capacity_proportion_individuals': '1', 'fire_time_from_fire_to_flowering': '12 (1); 21 (1)'}"
Lissanthe strigosa,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (2)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Lobelia anceps,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'fire_time_from_fire_to_flowering': '11.3953488372093 (1); 12 (1)', 'fire_time_from_fire_to_fruiting': '14.6511627906977 (1)', 'fire_time_from_fire_to_peak_flowering': '36 (1)'}"
Lobelia andrewsii,,,,"{'resprouting_capacity': 'fire_killed (1)', 'fire_time_from_fire_to_flowering': '11.3953488372093 (1)', 'fire_time_from_fire_to_fruiting': '15.5813953488372 (1)'}"
Lobelia dentata,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (2); resprouts (2)', 'fire_time_from_fire_to_flowering': '12 (1); 4.41860465116279 (1); 6 (1)', 'fire_time_from_fire_to_fruiting': '11.3953488372093 (1)', 'fire_time_from_fire_to_peak_flowering': '12 (1)'}"
Lobelia purpurascens,,,,"{'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '1.3953488372093 (1); 3.48837209302326 (1); 3.6 (1)', 'fire_time_from_fire_to_fruiting': '3.48837209302326 (1)'}"
Logania albiflora,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (6)', 'fire_time_from_fire_to_flowering': '12 (1); 20.2325581395349 (1); 36 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '37.906976744186 (1); 48.3720930232558 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1); 72 (1)'}"
Lomandra brevis,,,,"{'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'fire_time_from_fire_to_flowering': '12 (1); 24 (1)'}"
Lomandra cylindrica,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '13.0232558139535 (1); 15 (1); 9.30232558139535 (1)', 'fire_time_from_fire_to_fruiting': '13.0232558139535 (1)'}"
Lomandra glauca,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (2)', 'resprouting_capacity': 'resprouts (7)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (3)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '12.093023255814 (1); 7.2 (1); 8.37209302325581 (1)', 'fire_time_from_fire_to_fruiting': '11.3953488372093 (1)'}"
Lomandra gracilis,,,,"{'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'fire_time_from_fire_to_flowering': '12 (1); 12.093023255814 (1); 8.83720930232558 (1)', 'fire_time_from_fire_to_fruiting': '11.8604651162791 (1)'}"
Lomandra longifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (10)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (3)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (2)', 'fire_time_from_fire_to_flowering': '12 (V)', 'fire_time_from_fire_to_fruiting': '11.6279069767442 (1)'}"
Lomandra multiflora,,,,"{'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '12.093023255814 (1); 24 (1); 9.53488372093023 (1)', 'fire_time_from_fire_to_fruiting': '11.8604651162791 (1)'}"
Lomandra obliqua,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'fire_time_from_fire_to_flowering': '12.093023255814 (1); 9.53488372093023 (1)', 'fire_time_from_fire_to_fruiting': '11.3953488372093 (1); 12 (1); 3.6 (1)'}"
Lomatia silaifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (V)', 'post_fire_flowering': 'fire_enhanced_flowering (1)', 'resprouting_capacity': 'resprouts (7)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '11.3953488372093 (1); 12 (1); 12.093023255814 (1); 24.1860465116279 (1)', 'fire_time_from_fire_to_fruiting': '14.6511627906977 (1)', 'fire_time_from_fire_to_peak_flowering': '12 (1)'}"
Lophostemon confertus,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)'}"
Lyperanthus suaveolens,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (f)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (f)', 'fire_time_from_fire_to_flowering': '8.37209302325581 (1); 9 (1)'}"
Machaerina acuta,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (1)'}"
Machaerina articulata,,,,"{'resprouting_capacity': 'resprouts (f)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)'}"
Machaerina juncea,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '11.3953488372093 (1); 6 (1)', 'fire_time_from_fire_to_fruiting': '11.8604651162791 (1)'}"
Leichhardtia suaveolens,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '2.32558139534884 (1); 4.8 (1); 7.44186046511628 (1)', 'fire_time_from_fire_to_fruiting': '7.44186046511628 (1)'}"
Leichhardtia viridiflora,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)'}"
Melaleuca decora,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)'}"
Melaleuca ericifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'resprouting_capacity_proportion_individuals': '0 (2)'}"
Melaleuca linariifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '21.8604651162791 (1); 48 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1)'}"
Melaleuca nodosa,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '21.1627906976744 (1); 24.1860465116279 (1); 48 (1)', 'fire_time_from_fire_to_fruiting': '23.2558139534884 (1)'}"
Melaleuca quinquenervia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'fire_killed (1); resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '2.4 (1)'}"
Melaleuca styphelioides,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)'}"
Melaleuca thymifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '4.8 (1)'}"
Melia azedarach,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (7)'}"
Melichrus procumbens,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (V)', 'fire_time_from_fire_to_flowering': '36.2790697674419 (1); 48.3720930232558 (1)'}"
Melicope micrococca,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (3)'}"
Mentha diemenica,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (3)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)'}"
Micrantheum ericoides,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'fire_time_from_fire_to_flowering': '19.7674418604651 (1); 24.1860465116279 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '20 (1)', 'fire_time_from_fire_to_peak_flowering': '60 (1); 72 (1)'}"
Microlaena stipoides,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'partial_resprouting (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (f)', 'resprouting_capacity_proportion_individuals': '1 (3)', 'fire_time_from_fire_to_flowering': '1.86046511627907 (1); 12 (1); 18 (1); 24 (1); 3.48837209302326 (1)', 'fire_time_from_fire_to_fruiting': '3.48837209302326 (1)'}"
Microtis unifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (6)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (1); 6 (1); 8.37209302325581 (1)', 'fire_time_from_fire_to_fruiting': '10 (1)'}"
Mirbelia rubiifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '32.7906976744186 (1); 36.2790697674419 (1); 48.3720930232558 (1)', 'fire_time_from_fire_to_fruiting': '36 (V)'}"
Mitrasacme paludosa,,,,{'resprouting_capacity': 'fire_killed (2)'}
Mitrasacme polymorpha,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'fire_time_from_fire_to_flowering': '10 (1); 12.093023255814 (1)', 'fire_time_from_fire_to_peak_flowering': '36 (1)'}"
Monotoca elliptica,,,,"{'post_fire_recruitment': 'post_fire_recruitment (V)', 'resprouting_capacity': 'fire_killed (V)'}"
Monotoca scoparia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (V)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '15.5813953488372 (1); 16.8 (1); 24 (1)'}"
Muehlenbeckia gracillima,,,,{'resprouting_capacity': 'fire_killed (1)'}
Muellerina celastroides,,,,{'resprouting_capacity': 'fire_killed (1)'}
Muellerina eucalyptoides,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'fire_killed (V)'}"
Myoporum acuminatum,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'resprouting_capacity': 'resprouts (V)'}"
Myoporum insulare,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)'}"
Myrsine howittiana,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (2)', 'resprouting_capacity': 'resprouts (V)'}"
